ID,Level,Code,Name,enName,parent,children,officeName,Kana
1,centers,010100,北海道地方,Hokkaido,,"011000,012000,013000,014030,014100,015000,016000,017000",札幌管区気象台,
2,centers,010200,東北地方,Tohoku,,"020000,030000,040000,050000,060000,070000",仙台管区気象台,
3,centers,010300,関東甲信地方,Kanto Koshin,,"080000,090000,100000,110000,120000,130000,140000,190000,200000",気象庁,
4,centers,010400,東海地方,Tokai,,"210000,220000,230000,240000",名古屋地方気象台,
5,centers,010500,北陸地方,Hokuriku,,"150000,160000,170000,180000",新潟地方気象台,
6,centers,010600,近畿地方,Kinki,,"250000,260000,270000,280000,290000,300000",大阪管区気象台,
7,centers,010700,中国地方（山口県を除く）,Chugoku (Excluding Yamaguchi),,"310000,320000,330000,340000",広島地方気象台,
8,centers,010800,四国地方,Shikoku,,"360000,370000,380000,390000",高松地方気象台,
9,centers,010900,九州北部地方（山口県を含む）,Northern Kyushu (Including Yamaguchi),,"350000,400000,410000,420000,430000,440000",福岡管区気象台,
10,centers,011000,九州南部・奄美地方,Southern Kyushu and Amami,,"450000,460040,460100",鹿児島地方気象台,
11,centers,011100,沖縄地方,Okinawa,,"471000,472000,473000,474000",沖縄気象台,
12,offices,012000,上川・留萌地方,Kamikawa Rumoi,010100,"012010,012020",旭川地方気象台,
13,offices,013000,網走・北見・紋別地方,Abashiri Kitami Mombetsu,010100,"013010,013020,013030",網走地方気象台,
14,offices,014030,十勝地方,Tokachi,010100,014030,帯広測候所,
15,offices,014100,釧路・根室地方,Kushiro Nemuro,010100,"014010,014020",釧路地方気象台,
16,offices,015000,胆振・日高地方,Iburi Hidaka,010100,"015010,015020",室蘭地方気象台,
17,offices,016000,石狩・空知・後志地方,Ishikari Sorachi Shiribeshi,010100,"016010,016020,016030",札幌管区気象台,
18,offices,017000,渡島・檜山地方,Oshima Hiyama,010100,"017010,017020",函館地方気象台,
19,offices,020000,青森県,Aomori,010200,"020010,020020,020030",青森地方気象台,
20,offices,030000,岩手県,Iwate,010200,"030010,030020,030030",盛岡地方気象台,
21,offices,040000,宮城県,Miyagi,010200,"040010,040020",仙台管区気象台,
22,offices,050000,秋田県,Akita,010200,"050010,050020",秋田地方気象台,
23,offices,060000,山形県,Yamagata,010200,"060010,060020,060030,060040",山形地方気象台,
24,offices,070000,福島県,Fukushima,010200,"070010,070020,070030",福島地方気象台,
25,offices,080000,茨城県,Ibaraki,010300,"080010,080020",水戸地方気象台,
26,offices,090000,栃木県,Tochigi,010300,"090010,090020",宇都宮地方気象台,
27,offices,100000,群馬県,Gunma,010300,"100010,100020",前橋地方気象台,
28,offices,110000,埼玉県,Saitama,010300,"110010,110020,110030",熊谷地方気象台,
29,offices,120000,千葉県,Chiba,010300,"120010,120020,120030",銚子地方気象台,
30,offices,130000,東京都,Tokyo,010300,"130010,130020,130030,130040",気象庁,
31,offices,140000,神奈川県,Kanagawa,010300,"140010,140020",横浜地方気象台,
32,offices,150000,新潟県,Niigata,010500,"150010,150020,150030,150040",新潟地方気象台,
33,offices,160000,富山県,Toyama,010500,"160010,160020",富山地方気象台,
34,offices,170000,石川県,Ishikawa,010500,"170010,170020",金沢地方気象台,
35,offices,180000,福井県,Fukui,010500,"180010,180020",福井地方気象台,
36,offices,190000,山梨県,Yamanashi,010300,"190010,190020",甲府地方気象台,
37,offices,200000,長野県,Nagano,010300,"200010,200020,200030",長野地方気象台,
38,offices,210000,岐阜県,Gifu,010400,"210010,210020",岐阜地方気象台,
39,offices,220000,静岡県,Shizuoka,010400,"220010,220020,220030,220040",静岡地方気象台,
40,offices,230000,愛知県,Aichi,010400,"230010,230020",名古屋地方気象台,
41,offices,240000,三重県,Mie,010400,"240010,240020",津地方気象台,
42,offices,250000,滋賀県,Shiga,010600,"250010,250020",彦根地方気象台,
43,offices,260000,京都府,Kyoto,010600,"260010,260020",京都地方気象台,
44,offices,270000,大阪府,Osaka,010600,270000,大阪管区気象台,
45,offices,280000,兵庫県,Hyogo,010600,"280010,280020",神戸地方気象台,
46,offices,290000,奈良県,Nara,010600,"290010,290020",奈良地方気象台,
47,offices,300000,和歌山県,Wakayama,010600,"300010,300020",和歌山地方気象台,
48,offices,310000,鳥取県,Tottori,010700,"310010,310020",鳥取地方気象台,
49,offices,320000,島根県,Shimane,010700,"320010,320020,320030",松江地方気象台,
50,offices,330000,岡山県,Okayama,010700,"330010,330020",岡山地方気象台,
51,offices,340000,広島県,Hiroshima,010700,"340010,340020",広島地方気象台,
52,offices,350000,山口県,Yamaguchi,010900,"350010,350020,350030,350040",下関地方気象台,
53,offices,360000,徳島県,Tokushima,010800,"360010,360020",徳島地方気象台,
54,offices,370000,香川県,Kagawa,010800,370000,高松地方気象台,
55,offices,380000,愛媛県,Ehime,010800,"380010,380020,380030",松山地方気象台,
56,offices,390000,高知県,Kochi,010800,"390010,390020,390030",高知地方気象台,
57,offices,400000,福岡県,Fukuoka,010900,"400010,400020,400030,400040",福岡管区気象台,
58,offices,410000,佐賀県,Saga,010900,"410010,410020",佐賀地方気象台,
59,offices,420000,長崎県,Nagasaki,010900,"420010,420020,420030,420040",長崎地方気象台,
60,offices,430000,熊本県,Kumamoto,010900,"430010,430020,430030,430040",熊本地方気象台,
61,offices,440000,大分県,Oita,010900,"440010,440020,440030,440040",大分地方気象台,
62,offices,450000,宮崎県,Miyazaki,011000,"450010,450020,450030,450040",宮崎地方気象台,
63,offices,460040,奄美地方,Amami,011000,460040,名瀬測候所,
64,offices,460100,鹿児島県（奄美地方除く）,Kagoshima (Excluding Amami),011000,"460010,460020,460030",鹿児島地方気象台,
65,offices,471000,沖縄本島地方,Okinawa Main Island,011100,"471010,471020,471030",沖縄気象台,
66,offices,472000,大東島地方,Daitojima,011100,472000,南大東島地方気象台,
67,offices,473000,宮古島地方,Miyakojima,011100,473000,宮古島地方気象台,
68,offices,474000,八重山地方,Yaeyama,011100,"474010,474020",石垣島地方気象台,
69,class10s,012010,上川地方,Kamikawa Region,012000,,,
70,class10s,012020,留萌地方,Rumoi Region,012000,,,
71,class10s,013010,網走地方,Abashiri Region,013000,,,
72,class10s,013020,北見地方,Kitami Region,013000,,,
73,class10s,013030,紋別地方,Mombetsu Region,013000,,,
74,class10s,014010,根室地方,Nemuro Region,014100,,,
75,class10s,014020,釧路地方,Kushiro Region,014100,,,
76,class10s,015010,胆振地方,Iburi Region,015000,,,
77,class10s,015020,日高地方,Hidaka Region,015000,,,
78,class10s,016010,石狩地方,Ishikari Region,016000,,,
79,class10s,016020,空知地方,Sorachi Region,016000,,,
80,class10s,016030,後志地方,Shiribeshi Region,016000,,,
81,class10s,017010,渡島地方,Oshima Region,017000,,,
82,class10s,017020,檜山地方,Hiyama Region,017000,,,
83,class10s,020010,津軽,Tsugaru,020000,,,
84,class10s,020020,下北,Shimokita,020000,,,
85,class10s,020030,三八上北,Sanpachi Kamikita,020000,,,
86,class10s,030010,内陸,Inland,030000,,,
87,class10s,030020,沿岸北部,Northern Coast,030000,,,
88,class10s,030030,沿岸南部,Southern Coast,030000,,,
89,class10s,040010,東部,Eastern Region,040000,,,
90,class10s,040020,西部,Western Region,040000,,,
91,class10s,050010,沿岸,Coast,050000,,,
92,class10s,050020,内陸,Inland,050000,,,
93,class10s,060010,村山,Murayama,060000,,,
94,class10s,060020,置賜,Okitama,060000,,,
95,class10s,060030,庄内,Shonai,060000,,,
96,class10s,060040,最上,Mogami,060000,,,
97,class10s,070010,中通り,Nakadori,070000,,,
98,class10s,070020,浜通り,Hamadori,070000,,,
99,class10s,070030,会津,Aizu,070000,,,
100,class10s,080010,北部,Northern Region,080000,,,
101,class10s,080020,南部,Southern Region,080000,,,
102,class10s,090010,南部,Southern Region,090000,,,
103,class10s,090020,北部,Northern Region,090000,,,
104,class10s,100010,南部,Southern Region,100000,,,
105,class10s,100020,北部,Northern Region,100000,,,
106,class10s,110010,南部,Southern Region,110000,,,
107,class10s,110020,北部,Northern Region,110000,,,
108,class10s,110030,秩父地方,Chichibu Region,110000,,,
109,class10s,120010,北西部,North-western Region,120000,,,
110,class10s,120020,北東部,North-eastern Region,120000,,,
111,class10s,120030,南部,Southern Region,120000,,,
112,class10s,130010,東京地方,Tokyo Region,130000,,,
113,class10s,130020,伊豆諸島北部,Northern Izu Islands,130000,,,
114,class10s,130030,伊豆諸島南部,Southern Izu Islands,130000,,,
115,class10s,130040,小笠原諸島,Ogasawara Islands,130000,,,
116,class10s,140010,東部,Eastern Region,140000,,,
117,class10s,140020,西部,Western Region,140000,,,
118,class10s,150010,下越,Kaetsu,150000,,,
119,class10s,150020,中越,Chuetsu,150000,,,
120,class10s,150030,上越,Joetsu,150000,,,
121,class10s,150040,佐渡,Sado,150000,,,
122,class10s,160010,東部,Eastern Region,160000,,,
123,class10s,160020,西部,Western Region,160000,,,
124,class10s,170010,加賀,Kaga,170000,,,
125,class10s,170020,能登,Noto,170000,,,
126,class10s,180010,嶺北,Reihoku,180000,,,
127,class10s,180020,嶺南,Reinan,180000,,,
128,class10s,190010,中・西部,Central Western Region,190000,,,
129,class10s,190020,東部・富士五湖,Eastern Region and Fuji Five Lakes,190000,,,
130,class10s,200010,北部,Northern Region,200000,,,
131,class10s,200020,中部,Central Region,200000,,,
132,class10s,200030,南部,Southern Region,200000,,,
133,class10s,210010,美濃地方,Mino Region,210000,,,
134,class10s,210020,飛騨地方,Hida Region,210000,,,
135,class10s,220010,中部,Central Region,220000,,,
136,class10s,220020,伊豆,Izu,220000,,,
137,class10s,220030,東部,Eastern Region,220000,,,
138,class10s,220040,西部,Western Region,220000,,,
139,class10s,230010,西部,Western Region,230000,,,
140,class10s,230020,東部,Eastern Region,230000,,,
141,class10s,240010,北中部,Northern Central Region,240000,,,
142,class10s,240020,南部,Southern Region,240000,,,
143,class10s,250010,南部,Southern Region,250000,,,
144,class10s,250020,北部,Northern Region,250000,,,
145,class10s,260010,南部,Southern Region,260000,,,
146,class10s,260020,北部,Northern Region,260000,,,
147,class10s,280010,南部,Southern Region,280000,,,
148,class10s,280020,北部,Northern Region,280000,,,
149,class10s,290010,北部,Northern Region,290000,,,
150,class10s,290020,南部,Southern Region,290000,,,
151,class10s,300010,北部,Northern Region,300000,,,
152,class10s,300020,南部,Southern Region,300000,,,
153,class10s,310010,東部,Eastern Region,310000,,,
154,class10s,310020,中・西部,Central Western Region,310000,,,
155,class10s,320010,東部,Eastern Region,320000,,,
156,class10s,320020,西部,Western Region,320000,,,
157,class10s,320030,隠岐,Oki,320000,,,
158,class10s,330010,南部,Southern Region,330000,,,
159,class10s,330020,北部,Northern Region,330000,,,
160,class10s,340010,南部,Southern Region,340000,,,
161,class10s,340020,北部,Northern Region,340000,,,
162,class10s,350010,西部,Western Region,350000,,,
163,class10s,350020,中部,Central Region,350000,,,
164,class10s,350030,東部,Eastern Region,350000,,,
165,class10s,350040,北部,Northern Region,350000,,,
166,class10s,360010,北部,Northern Region,360000,,,
167,class10s,360020,南部,Southern Region,360000,,,
168,class10s,380010,中予,Chuyo,380000,,,
169,class10s,380020,東予,Toyo,380000,,,
170,class10s,380030,南予,Nan-yo,380000,,,
171,class10s,390010,中部,Central Region,390000,,,
172,class10s,390020,東部,Eastern Region,390000,,,
173,class10s,390030,西部,Western Region,390000,,,
174,class10s,400010,福岡地方,Fukuoka Region,400000,,,
175,class10s,400020,北九州地方,Kitakyushu Region,400000,,,
176,class10s,400030,筑豊地方,Chikuho Region,400000,,,
177,class10s,400040,筑後地方,Chikugo Region,400000,,,
178,class10s,410010,南部,Southern Region,410000,,,
179,class10s,410020,北部,Northern Region,410000,,,
180,class10s,420010,南部,Southern Region,420000,,,
181,class10s,420020,北部,Northern Region,420000,,,
182,class10s,420030,壱岐・対馬,Iki Tsushima,420000,,,
183,class10s,420040,五島,Goto,420000,,,
184,class10s,430010,熊本地方,Kumamoto Region,430000,,,
185,class10s,430020,阿蘇地方,Aso Region,430000,,,
186,class10s,430030,天草・芦北地方,Amakusa Ashikita Region,430000,,,
187,class10s,430040,球磨地方,Kuma Region,430000,,,
188,class10s,440010,中部,Central Region,440000,,,
189,class10s,440020,北部,Northern Region,440000,,,
190,class10s,440030,西部,Western Region,440000,,,
191,class10s,440040,南部,Southern Region,440000,,,
192,class10s,450010,南部平野部,Plain Area of Southern Region,450000,,,
193,class10s,450020,北部平野部,Plain Area of Northern Region,450000,,,
194,class10s,450030,南部山沿い,Area along mountains of Southern Region,450000,,,
195,class10s,450040,北部山沿い,Area along mountains of Northern Region,450000,,,
196,class10s,460010,薩摩地方,Satsuma Region,460100,,,
197,class10s,460020,大隅地方,Osumi Region,460100,,,
198,class10s,460030,種子島・屋久島地方,Tanegashima Yakushima Region,460100,,,
