企業名,順位,カテゴリー,年収,設立,従業員数,資本金
株式会社Ｄｕｎｋ,1,総合,350～600万円,2022年8月,43名,情報なし
ＧＭＯコネクト株式会社【東証プライム上場 GMOインターネットグループ】,2,総合,250～750万円,2013年7月1日,70名（2023年11月時点）,5530万円
株式会社FEDELTA,3,総合,350～1000万円,2018年8月1日,約200名,"10,000,000円"
日本マイクロソフト株式会社【ポジションマッチ登録】,4,総合,給与情報なし,1986年2月,"3,040名 (2022年4月1日 時点)",4億9950万円
コクヨ株式会社【ポジションマッチ登録】,5,総合,給与情報なし,1905年（明治38年）10月,"連結　 6,931名、単体　 2,142名（2023年12月末現在）",158億円
株式会社Euphonauts,6,総合,250～1400万円,2023年3月,61名（グループ全体）,"20,000,000円"
株式会社S-crew,7,総合,300～600万円,2021年7月,150名（2024年2月現在）,300万円
株式会社TheNewGate,8,総合,300～600万円,2018年,521名（パートナー社員含む）,情報なし
株式会社MIRDIS,9,総合,350～800万円,2022年12月1日,,"3,000千円"
株式会社Ａｎｔｒａｃｅ,10,総合,300～700万円,2021年11月24日,,情報なし
株式会社ＬＩＦＦＩＫ,11,総合,300～500万円,2019年12月,34名,情報なし
株式会社SPIN TECHNOLOGY,12,総合,300～700万円,2021年9月1日,230名（正社員）,"40,000,000円"
Lien株式会社,13,総合,300～800万円,2020年6月,15名,1000万円
Lien株式会社,14,総合,300～800万円,2020年6月,15名,1000万円
株式会社 アップコム,15,総合,300～450万円,2016年6月8日,700名（2023年10月現在）※派遣社員を含む,"10,000,000円"
株式会社ＮｅＸｔａｒｓ,16,総合,300～650万円,2020年1月30日,情報なし,300万円
富士フイルム株式会社【ポジションマッチ登録】,17,総合,給与情報なし,2006年10月,"4,607名（2023年3月31日現在）",400億円
株式会社コプロテクノロジー,18,総合,650～1500万円,2006年6月6日,エンジニア361名（フリーランス含む）※2024年3月時点,"35,000千円"
サファイロス株式会社,19,総合,250～800万円,2022年7月1日,150人程度,100万円
ゼロプライド株式会社,20,総合,350～600万円,2019年2月15日,80名,"20,000,000円"
コクヨ株式会社【ポジションマッチ登録】,1,開発エンジニア,給与情報なし,1905年（明治38年）10月,"連結　 6,931名、単体　 2,142名（2023年12月末現在）",158億円
日本マイクロソフト株式会社【ポジションマッチ登録】,2,開発エンジニア,給与情報なし,1986年2月,"3,040名 (2022年4月1日 時点)",4億9950万円
株式会社Euphonauts,3,開発エンジニア,250～1400万円,2023年3月,61名（グループ全体）,"20,000,000円"
富士フイルム株式会社【ポジションマッチ登録】,4,開発エンジニア,給与情報なし,2006年10月,"4,607名（2023年3月31日現在）",400億円
株式会社コプロテクノロジー,5,開発エンジニア,650～1500万円,2006年6月6日,エンジニア361名（フリーランス含む）※2024年3月時点,"35,000千円"
株式会社トライ,6,開発エンジニア,300～1100万円,1998年10月,60名（グループ全体）,"22,000,000円"
株式会社リクルートR&Dスタッフィング【リクルートグループ】,7,開発エンジニア,300～600万円,2006年2月1日,"1,884名（令和3年3月末現在）",2億2500万円(株式会社リクルートHDのグループ企業)
ｉＣｈａｉｎ株式会社,8,開発エンジニア,350～750万円,2016年4月1日,情報なし,"406,987,200円（資本準備金を含む、2024年9月時点）"
アルテンジャパン株式会社,9,開発エンジニア,350～750万円,2013年2月1日,単体：600名／グループ従業員：約1400名,4000万円
株式会社アイ・ディ・エイチ,10,開発エンジニア,450～1500万円,2014年7月8日,423名,"8,000万（資本準備金含む）"
株式会社スタッフサービス エンジニアリング事業本部,11,開発エンジニア,300～850万円,2001年12月,"約18,000名（2024年4月時点、エンジニア数）",5億円
株式会社ＡＴＪＣ【上場グループ】,12,開発エンジニア,250～800万円,2007年12月,250名（グループ全体2200名）,4800万円
株式会社ブレイブハート,13,開発エンジニア,350～500万円,1991年8月,75名,"1,000万円"
株式会社Necmos,14,開発エンジニア,550～1500万円,2021年1月7日,45名（2024年12月現在）,900万円
株式会社ワールドクラフト,15,開発エンジニア,400～900万円,2006年,情報なし,"1,982万円"
株式会社エンジニアファースト,16,開発エンジニア,550～1350万円,2023年1月,35名,100万円
ＧＭＯコネクト株式会社【東証プライム上場 GMOインターネットグループ】,17,開発エンジニア,450～1200万円,2013年7月1日,70名（2023年11月時点）,5530万円
サービス＆セキュリティ株式会社,18,開発エンジニア,450～900万円,1979年12月,"グループ全体　1,946名（2024年4月現在）","9,000万円"
株式会社Ｆｒａｎｃｆｒａｎｃ【ポジションマッチ登録】,19,開発エンジニア,給与情報なし,1990年7月11日,"1,498名 （2023年10月末時点）※時間勤務社員数は年間平均人員数（1日8時間換算）で算出",1億円
株式会社オーディオテクニカ【ポジションマッチ登録】,20,開発エンジニア,給与情報なし,1962年4月17日,541名（国内関連会社を含む合計738名）,1億円
株式会社コプロテクノロジー,1,PM/PL/ITコンサル,650～1500万円,2006年6月6日,エンジニア361名（フリーランス含む）※2024年3月時点,"35,000千円"
株式会社レゾナント・コミュニケーションズ,2,PM/PL/ITコンサル,450～600万円,2009年7月,33名,1000万円
